[2026-01-10 22:28:09] Added expense: £1800.00 | Rent | Rent - first month
[2026-03-26 20:36:35] Added expense: £5.00 | Groceries | sainsburys
[2026-03-26 20:36:47] Added expense: £7.00 | Discretionary | volleyball subscription
[2026-03-26 20:37:03] Added expense: £13.00 | Discretionary | post office documents certification
[2026-03-26 20:37:20] Added expense: £39.00 | Groceries | m&s
[2026-03-29 14:08:14] Added expense: £10.00 | Discretionary | bowling
[2026-03-29 14:09:12] Added expense: £3.00 | Groceries | snacks for friday social
[2026-03-29 14:09:19] Added expense: £5.00 | Discretionary | bowling
[2026-03-29 14:09:43] Added expense: £3.00 | Commuting | tube to angel
[2026-03-29 14:09:56] Added expense: £20.00 | Commuting | tfl account top up
[2026-03-29 14:10:17] Added expense: £4.00 | Food out | gails
[2026-03-29 14:10:26] Added expense: £10.00 | House | mould removal
[2026-03-29 18:16:01] Added expense: £17.00 | Food out | noodle inn
[2026-03-29 18:16:17] Added expense: £8.00 | Groceries | sainsburys
[2026-03-29 18:16:46] Added expense: £12.00 | Food out | japanese cafe
[2026-03-29 18:16:55] Added expense: £5.00 | Groceries | sainsburys
[2026-04-04 12:37:10] Added expense: £69.00 | Electricity + gas | octopus energy march
[2026-04-04 12:37:17] Added expense: £1800.00 | Rent | rent
[2026-04-04 12:37:30] Added expense: £20.00 | Food out | pizza pilgrims
[2026-04-04 12:37:45] Added expense: £26.00 | Food out | brunch in angel
[2026-04-04 12:38:05] Added expense: £7.00 | Groceries | sainsburys
[2026-04-04 12:38:17] Added expense: £20.00 | Food out | pizza pilgrims
[2026-04-04 12:39:05] Added expense: £3.00 | Groceries | asian store
[2026-04-04 12:39:11] Added expense: £5.00 | Groceries | tesco
[2026-04-04 12:39:33] Added expense: £6.00 | Groceries | sainsburys
[2026-04-06 19:53:32] Added expense: £10.00 | SIM card | giffgaff
[2026-04-06 19:54:08] Added expense: £5.50 | Groceries | sainsburys
[2026-04-06 19:54:21] Added expense: £2.00 | Commuting | bus to boat race
[2026-04-06 19:54:28] Added expense: £10.00 | Food out | gails
[2026-04-06 19:54:38] Added expense: £9.00 | Food out | itsu
[2026-04-06 19:54:45] Added expense: £23.00 | Food out | xian noodles
[2026-04-06 19:55:09] Added expense: £9.50 | Food out | gails
[2026-04-06 19:55:16] Added expense: £20.00 | Food out | pizza pilgrims
[2026-04-11 12:06:32] Added expense: £17.00 | Food out | ye ye noodles
[2026-04-11 12:06:43] Added expense: £14.00 | Food out | five guys
[2026-04-11 12:07:04] Added expense: £103.00 | Council tax | council tax
[2026-04-12 19:48:23] Added expense: £19.00 | Food out | breakfast club
[2026-04-12 19:48:30] Added expense: £17.00 | Food out | yeye noodles
[2026-04-12 19:48:54] Added expense: £3.50 | Groceries | sainsburys
[2026-04-12 19:49:11] Added expense: £4.50 | Groceries | sainsburys
[2026-04-12 19:49:19] Added expense: £4.00 | Food out | matcha
[2026-04-12 19:49:24] Added expense: £6.50 | Food out | pophams
[2026-04-12 19:49:31] Added expense: £11.00 | Food out | food court
[2026-04-12 19:50:21] Added expense: £29.00 | Traveling | train to stanstead
[2026-04-15 19:12:39] Added expense: £1.00 | Groceries | tesco
[2026-04-15 19:13:20] Added expense: £8.00 | Groceries | sainsburys
[2026-04-15 19:13:31] Added expense: £9.00 | Groceries | sainsburys
[2026-04-15 19:13:44] Added expense: £24.00 | Food out | ye ye noodles
